origin,destination,route_id,route_label,route_distance_km,avg_speed_kmh,traffic_level,estimated_time_min,estimated_energy_kWh,driving_style,vehicle_model,weather,is_optimal
Jaffna,Anuradhapura,Jaffna_Anuradhapura_C,C,34,52,medium,41,6.12,Normal,ZS EV,sunny,0
Anuradhapura,Batticaloa,Anuradhapura_Batticaloa_A,A,56,41,low,81,12.23,Aggressive,Model 3,monsoon,0
Anuradhapura,Batticaloa,Anuradhapura_Batticaloa_B,B,56,46,high,87,10.035,Normal,Leaf,monsoon,1
Anuradhapura,Batticaloa,Anuradhapura_Batticaloa_C,C,59,30,low,118,10.03,Normal,Atto 3,sunny,0
Jaffna,Ratnapura,Jaffna_Ratnapura_A,A,73,56,medium,82,12.03,Normal,Leaf,light_rain,1
Jaffna,Ratnapura,Jaffna_Ratnapura_B,B,89,54,medium,103,14.667,Normal,Leaf,light_rain,0
Jaffna,Ratnapura,Jaffna_Ratnapura_C,C,78,52,low,90,16.711,Aggressive,Leaf,light_rain,0
Kurunegala,Galle,Kurunegala_Galle_A,A,46,48,medium,60,10.716,Aggressive,Leaf,monsoon,0
Kurunegala,Galle,Kurunegala_Galle_B,B,57,73,medium,49,11.115,Aggressive,Model 3,sunny,0
Kurunegala,Galle,Kurunegala_Galle_C,C,54,38,low,85,8.1,Normal,Model 3,sunny,1
Kandy,Kurunegala,Kandy_Kurunegala_A,A,80,47,medium,107,13.736,Normal,Atto 3,cloudy,1
Kandy,Kurunegala,Kandy_Kurunegala_B,B,107,28,high,275,20.373,Normal,Atto 3,monsoon,0
Kandy,Kurunegala,Kandy_Kurunegala_C,C,97,51,low,114,14.986,Normal,Model 3,light_rain,0
Kandy,Colombo,Kandy_Colombo_A,A,139,52,high,192,24.339,Normal,Atto 3,light_rain,0
Kandy,Colombo,Kandy_Colombo_B,B,110,55,medium,126,18.7,Normal,Atto 3,sunny,1
Kandy,Colombo,Kandy_Colombo_C,C,123,30,low,245,23.911,Normal,ZS EV,heavy_rain,0
Ratnapura,Kurunegala,Ratnapura_Kurunegala_A,A,58,33,high,126,12.426,Aggressive,Leaf,light_rain,0
Ratnapura,Kurunegala,Ratnapura_Kurunegala_B,B,45,63,medium,45,8.064,Normal,Leaf,monsoon,1
Ratnapura,Kurunegala,Ratnapura_Kurunegala_C,C,50,30,low,100,8.568,Eco,Atto 3,monsoon,0
Matara,Ratnapura,Matara_Ratnapura_A,A,30,43,medium,43,5.141,Eco,Atto 3,monsoon,0
Matara,Ratnapura,Matara_Ratnapura_B,B,25,66,high,27,4.032,Eco,Leaf,monsoon,1
Matara,Ratnapura,Matara_Ratnapura_C,C,34,42,low,48,5.494,Normal,Leaf,cloudy,0
Ratnapura,Galle,Ratnapura_Galle_A,A,135,44,high,220,20.995,Eco,Leaf,heavy_rain,0
Ratnapura,Galle,Ratnapura_Galle_B,B,98,60,low,98,18.169,Normal,ZS EV,light_rain,1
Ratnapura,Galle,Ratnapura_Galle_C,C,130,66,medium,124,20.8,Normal,Leaf,sunny,0
Colombo,Anuradhapura,Colombo_Anuradhapura_A,A,59,55,medium,67,10.832,Normal,Atto 3,heavy_rain,0
Colombo,Anuradhapura,Colombo_Anuradhapura_B,B,55,47,low,70,8.554,Eco,Leaf,heavy_rain,1
Colombo,Anuradhapura,Colombo_Anuradhapura_C,C,64,65,low,59,13.445,Aggressive,Leaf,cloudy,0
Galle,Matara,Galle_Matara_A,A,130,67,high,139,23.296,Normal,Leaf,monsoon,0
Galle,Matara,Galle_Matara_B,B,129,62,low,124,21.259,Normal,Leaf,light_rain,0
Galle,Matara,Galle_Matara_C,C,115,53,high,156,19.745,Normal,Atto 3,cloudy,1
Ratnapura,Matara,Ratnapura_Matara_A,A,87,47,medium,116,12.653,Eco,Leaf,cloudy,1
Ratnapura,Matara,Ratnapura_Matara_B,B,99,49,medium,127,15.296,Normal,Model 3,light_rain,0
Ratnapura,Matara,Ratnapura_Matara_C,C,118,58,low,122,19.446,Normal,Leaf,light_rain,0
Anuradhapura,Kurunegala,Anuradhapura_Kurunegala_A,A,108,79,high,98,19.354,Normal,Leaf,monsoon,0
Anuradhapura,Kurunegala,Anuradhapura_Kurunegala_B,B,81,80,low,60,16.269,Aggressive,Model 3,light_rain,1
Anuradhapura,Kurunegala,Anuradhapura_Kurunegala_C,C,87,38,high,164,16.13,Normal,ZS EV,light_rain,0
Ratnapura,Kurunegala,Ratnapura_Kurunegala_A,A,114,59,medium,121,18.468,Normal,Model 3,heavy_rain,0
Ratnapura,Kurunegala,Ratnapura_Kurunegala_B,B,107,61,low,105,23.369,Aggressive,Model 3,monsoon,0
Ratnapura,Kurunegala,Ratnapura_Kurunegala_C,C,101,38,high,191,13.771,Eco,Model 3,cloudy,1
Colombo,Galle,Colombo_Galle_A,A,97,65,low,89,19.104,Aggressive,Model 3,cloudy,0
Colombo,Galle,Colombo_Galle_B,B,81,55,medium,92,14.183,Normal,Atto 3,light_rain,1
Colombo,Galle,Colombo_Galle_C,C,98,34,high,207,21.875,Aggressive,Atto 3,cloudy,0
Matara,Trincomalee,Matara_Trincomalee_A,A,83,50,medium,104,16.185,Aggressive,Model 3,sunny,0
Matara,Trincomalee,Matara_Trincomalee_B,B,98,45,low,130,16.66,Normal,Atto 3,sunny,0
Matara,Trincomalee,Matara_Trincomalee_C,C,86,66,low,78,13.287,Normal,Model 3,light_rain,1
Batticaloa,Galle,Batticaloa_Galle_A,A,81,58,medium,87,14.726,Normal,ZS EV,cloudy,0
Batticaloa,Galle,Batticaloa_Galle_B,B,78,55,low,85,13.015,Eco,ZS EV,light_rain,1
Batticaloa,Galle,Batticaloa_Galle_C,C,105,32,low,196,16.8,Normal,Leaf,sunny,0
Colombo,Trincomalee,Colombo_Trincomalee_A,A,24,66,medium,22,4.32,Normal,ZS EV,sunny,0
Colombo,Trincomalee,Colombo_Trincomalee_B,B,25,32,low,46,3.75,Normal,Model 3,sunny,1
Colombo,Trincomalee,Colombo_Trincomalee_C,C,25,39,low,38,4.04,Normal,Leaf,cloudy,0
Galle,Jaffna,Galle_Jaffna_A,A,78,56,medium,87,17.755,Aggressive,Atto 3,light_rain,0
Galle,Jaffna,Galle_Jaffna_B,B,79,37,high,153,13.019,Normal,Leaf,light_rain,0
Galle,Jaffna,Galle_Jaffna_C,C,72,38,low,113,9.72,Eco,Model 3,sunny,1
Kurunegala,Kandy,Kurunegala_Kandy_A,A,129,39,medium,208,22.291,Normal,Leaf,heavy_rain,0
Kurunegala,Kandy,Kurunegala_Kandy_B,B,137,45,high,219,22.194,Normal,Model 3,heavy_rain,1
Kurunegala,Kandy,Kurunegala_Kandy_C,C,116,62,high,134,27.144,Aggressive,ZS EV,sunny,0
Ratnapura,Kurunegala,Ratnapura_Kurunegala_A,A,38,54,low,42,5.54,Eco,Model 3,heavy_rain,1
Ratnapura,Kurunegala,Ratnapura_Kurunegala_B,B,46,56,low,49,8.446,Normal,Atto 3,heavy_rain,0
Ratnapura,Kurunegala,Ratnapura_Kurunegala_C,C,38,34,low,67,6.648,Eco,ZS EV,heavy_rain,0
Jaffna,Anuradhapura,Jaffna_Anuradhapura_A,A,52,71,medium,46,10.444,Aggressive,Model 3,light_rain,0
Jaffna,Anuradhapura,Jaffna_Anuradhapura_B,B,47,54,medium,54,8.07,Normal,Atto 3,cloudy,0
Jaffna,Anuradhapura,Jaffna_Anuradhapura_C,C,47,57,low,49,7.52,Normal,Leaf,sunny,1
Anuradhapura,Batticaloa,Anuradhapura_Batticaloa_A,A,101,62,low,97,13.635,Eco,Model 3,sunny,1
Anuradhapura,Batticaloa,Anuradhapura_Batticaloa_B,B,93,46,high,145,16.74,Normal,ZS EV,sunny,0
Anuradhapura,Batticaloa,Anuradhapura_Batticaloa_C,C,98,63,low,93,15.876,Normal,Model 3,heavy_rain,0
Kandy,Anuradhapura,Kandy_Anuradhapura_A,A,114,60,low,114,15.852,Eco,Model 3,light_rain,1
Kandy,Anuradhapura,Kandy_Anuradhapura_B,B,107,50,high,154,16.05,Normal,Model 3,sunny,0
Kandy,Anuradhapura,Kandy_Anuradhapura_C,C,92,66,medium,87,17.94,Aggressive,Model 3,sunny,0
Kurunegala,Ratnapura,Kurunegala_Ratnapura_A,A,39,63,low,37,5.686,Eco,Model 3,heavy_rain,0
Kurunegala,Ratnapura,Kurunegala_Ratnapura_B,B,31,56,low,33,5.555,Normal,Leaf,monsoon,1
Kurunegala,Ratnapura,Kurunegala_Ratnapura_C,C,41,58,low,42,7.026,Eco,Atto 3,monsoon,0
Colombo,Jaffna,Colombo_Jaffna_A,A,65,47,medium,87,11.05,Normal,Atto 3,sunny,0
Colombo,Jaffna,Colombo_Jaffna_B,B,54,41,medium,82,8.181,Normal,Model 3,cloudy,1
Colombo,Jaffna,Colombo_Jaffna_C,C,66,44,low,90,12.566,Normal,Atto 3,monsoon,0
Ratnapura,Colombo,Ratnapura_Colombo_A,A,79,42,low,112,11.945,Eco,Model 3,monsoon,1
Ratnapura,Colombo,Ratnapura_Colombo_B,B,91,54,low,101,14.676,Eco,Leaf,monsoon,0
Ratnapura,Colombo,Ratnapura_Colombo_C,C,100,33,medium,190,20.085,Aggressive,Model 3,light_rain,0
Kurunegala,Trincomalee,Kurunegala_Trincomalee_A,A,102,45,low,136,16.689,Eco,ZS EV,cloudy,1
Kurunegala,Trincomalee,Kurunegala_Trincomalee_B,B,123,56,medium,138,17.933,Eco,Model 3,heavy_rain,0
Kurunegala,Trincomalee,Kurunegala_Trincomalee_C,C,116,20,high,417,18.04,Eco,Leaf,heavy_rain,0
Batticaloa,Ratnapura,Batticaloa_Ratnapura_A,A,78,30,medium,163,13.478,Normal,Leaf,heavy_rain,0
Batticaloa,Ratnapura,Batticaloa_Ratnapura_B,B,72,39,medium,116,11.866,Normal,Leaf,light_rain,0
Batticaloa,Ratnapura,Batticaloa_Ratnapura_C,C,57,62,low,55,8.55,Normal,Model 3,sunny,1
Kandy,Matara,Kandy_Matara_A,A,107,53,high,145,16.532,Normal,Model 3,light_rain,1
Kandy,Matara,Kandy_Matara_B,B,135,57,low,142,18.772,Eco,Model 3,light_rain,0
Kandy,Matara,Kandy_Matara_C,C,122,52,medium,147,22.136,Eco,ZS EV,monsoon,0
Matara,Kurunegala,Matara_Kurunegala_A,A,78,43,low,108,16.711,Aggressive,Leaf,light_rain,0
Matara,Kurunegala,Matara_Kurunegala_B,B,81,68,high,85,12.014,Eco,Leaf,light_rain,1
Matara,Kurunegala,Matara_Kurunegala_C,C,72,35,low,123,13.219,Normal,Atto 3,heavy_rain,0
Batticaloa,Kandy,Batticaloa_Kandy_A,A,122,56,medium,137,21.862,Normal,Leaf,monsoon,0
Batticaloa,Kandy,Batticaloa_Kandy_B,B,98,53,low,110,17.16,Normal,Atto 3,light_rain,0
Batticaloa,Kandy,Batticaloa_Kandy_C,C,100,72,low,83,17.28,Normal,Leaf,heavy_rain,1
Kandy,Batticaloa,Kandy_Batticaloa_A,A,55,65,low,50,8.316,Eco,Model 3,monsoon,1
Kandy,Batticaloa,Kandy_Batticaloa_B,B,49,54,low,54,8.781,Normal,Leaf,monsoon,0
Kandy,Batticaloa,Kandy_Batticaloa_C,C,66,57,high,83,11.999,Normal,ZS EV,cloudy,0
Ratnapura,Galle,Ratnapura_Galle_A,A,109,59,high,133,18.53,Normal,Atto 3,sunny,1
Ratnapura,Galle,Ratnapura_Galle_B,B,119,49,low,145,22.658,Normal,Atto 3,monsoon,0
Ratnapura,Galle,Ratnapura_Galle_C,C,111,46,medium,152,24.776,Aggressive,Atto 3,cloudy,0
Batticaloa,Ratnapura,Batticaloa_Ratnapura_A,A,21,59,low,21,3.528,Normal,Model 3,monsoon,1
Batticaloa,Ratnapura,Batticaloa_Ratnapura_B,B,23,62,low,22,4.379,Normal,Atto 3,monsoon,0
Batticaloa,Ratnapura,Batticaloa_Ratnapura_C,C,23,45,low,30,5.543,Aggressive,ZS EV,light_rain,0
Batticaloa,Kurunegala,Batticaloa_Kurunegala_A,A,73,38,medium,121,11.059,Normal,Model 3,cloudy,1
Batticaloa,Kurunegala,Batticaloa_Kurunegala_B,B,80,55,high,104,13.09,Eco,ZS EV,cloudy,0
Batticaloa,Kurunegala,Batticaloa_Kurunegala_C,C,74,39,medium,119,11.988,Normal,Model 3,heavy_rain,0
Colombo,Jaffna,Colombo_Jaffna_A,A,22,59,low,22,3.0,Eco,Model 3,cloudy,1
Colombo,Jaffna,Colombo_Jaffna_B,B,22,52,high,30,3.333,Normal,Model 3,cloudy,0
Colombo,Jaffna,Colombo_Jaffna_C,C,20,56,high,25,3.888,Normal,ZS EV,heavy_rain,0
Galle,Jaffna,Galle_Jaffna_A,A,47,47,low,60,10.491,Aggressive,Atto 3,cloudy,0
Galle,Jaffna,Galle_Jaffna_B,B,50,68,high,52,6.817,Eco,Model 3,cloudy,1
Galle,Jaffna,Galle_Jaffna_C,C,56,63,low,53,8.306,Eco,Leaf,light_rain,0
Trincomalee,Batticaloa,Trincomalee_Batticaloa_A,A,132,58,low,136,20.394,Normal,Model 3,light_rain,1
Trincomalee,Batticaloa,Trincomalee_Batticaloa_B,B,129,37,medium,219,20.805,Eco,Leaf,monsoon,0
Trincomalee,Batticaloa,Trincomalee_Batticaloa_C,C,123,39,high,227,22.14,Normal,ZS EV,sunny,0
Jaffna,Trincomalee,Jaffna_Trincomalee_A,A,95,52,high,131,17.271,Normal,ZS EV,cloudy,0
Jaffna,Trincomalee,Jaffna_Trincomalee_B,B,85,56,high,109,14.595,Normal,Atto 3,cloudy,1
Jaffna,Trincomalee,Jaffna_Trincomalee_C,C,88,42,low,125,15.77,Normal,Leaf,monsoon,0
Matara,Trincomalee,Matara_Trincomalee_A,A,34,42,high,58,6.696,Aggressive,Model 3,cloudy,0
Matara,Trincomalee,Matara_Trincomalee_B,B,33,70,high,33,6.628,Aggressive,Model 3,light_rain,1
Matara,Trincomalee,Matara_Trincomalee_C,C,42,56,medium,47,7.14,Normal,Atto 3,sunny,0
Galle,Colombo,Galle_Colombo_A,A,107,21,high,366,27.041,Aggressive,ZS EV,heavy_rain,0
Galle,Colombo,Galle_Colombo_B,B,93,59,high,113,13.526,Eco,Leaf,cloudy,1
Galle,Colombo,Galle_Colombo_C,C,96,43,high,160,24.261,Aggressive,ZS EV,heavy_rain,0
Colombo,Batticaloa,Colombo_Batticaloa_A,A,101,41,low,147,18.725,Normal,ZS EV,light_rain,1
Colombo,Batticaloa,Colombo_Batticaloa_B,B,112,65,high,124,21.325,Normal,Atto 3,monsoon,0
Colombo,Batticaloa,Colombo_Batticaloa_C,C,123,45,medium,172,22.583,Normal,Atto 3,heavy_rain,0
Batticaloa,Anuradhapura,Batticaloa_Anuradhapura_A,A,70,69,low,60,10.815,Normal,Model 3,light_rain,0
Batticaloa,Anuradhapura,Batticaloa_Anuradhapura_B,B,59,62,high,68,9.176,Eco,Leaf,heavy_rain,1
Batticaloa,Anuradhapura,Batticaloa_Anuradhapura_C,C,61,66,low,55,14.417,Aggressive,ZS EV,cloudy,0
Galle,Ratnapura,Galle_Ratnapura_A,A,38,56,low,40,6.654,Normal,Atto 3,light_rain,0
Galle,Ratnapura,Galle_Ratnapura_B,B,36,58,high,44,7.258,Normal,ZS EV,monsoon,0
Galle,Ratnapura,Galle_Ratnapura_C,C,32,52,medium,38,4.8,Normal,Model 3,sunny,1
Kandy,Batticaloa,Kandy_Batticaloa_A,A,131,63,high,149,22.637,Normal,Leaf,heavy_rain,0
Kandy,Batticaloa,Kandy_Batticaloa_B,B,141,60,low,141,21.573,Eco,Atto 3,sunny,1
Kandy,Batticaloa,Kandy_Batticaloa_C,C,132,59,low,134,22.664,Normal,Atto 3,cloudy,0
Kandy,Ratnapura,Kandy_Ratnapura_A,A,105,39,medium,169,19.278,Normal,Atto 3,heavy_rain,0
Kandy,Ratnapura,Kandy_Ratnapura_B,B,103,40,medium,162,18.911,Normal,Atto 3,heavy_rain,1
Kandy,Ratnapura,Kandy_Ratnapura_C,C,127,47,high,194,23.317,Normal,Atto 3,heavy_rain,0
Anuradhapura,Kurunegala,Anuradhapura_Kurunegala_A,A,58,32,high,130,13.979,Aggressive,ZS EV,light_rain,0
Anuradhapura,Kurunegala,Anuradhapura_Kurunegala_B,B,51,37,high,99,9.455,Normal,ZS EV,light_rain,1
Anuradhapura,Kurunegala,Anuradhapura_Kurunegala_C,C,60,35,high,123,10.908,Normal,ZS EV,cloudy,0
Jaffna,Kurunegala,Jaffna_Kurunegala_A,A,24,40,low,36,4.147,Normal,Leaf,heavy_rain,0
Jaffna,Kurunegala,Jaffna_Kurunegala_B,B,26,54,high,34,4.285,Normal,Leaf,light_rain,0
Jaffna,Kurunegala,Jaffna_Kurunegala_C,C,24,39,medium,38,4.08,Normal,Atto 3,sunny,1
Matara,Jaffna,Matara_Jaffna_A,A,48,29,medium,104,10.926,Aggressive,Atto 3,light_rain,0
Matara,Jaffna,Matara_Jaffna_B,B,50,59,low,50,9.0,Normal,ZS EV,sunny,0
Matara,Jaffna,Matara_Jaffna_C,C,40,33,medium,76,8.403,Aggressive,Leaf,cloudy,1
Galle,Matara,Galle_Matara_A,A,67,44,medium,95,12.06,Normal,ZS EV,sunny,0
Galle,Matara,Galle_Matara_B,B,71,53,low,80,13.036,Normal,Atto 3,heavy_rain,0
Galle,Matara,Galle_Matara_C,C,64,38,low,101,11.469,Normal,Leaf,monsoon,1
Trincomalee,Galle,Trincomalee_Galle_A,A,63,31,low,121,10.886,Normal,Leaf,heavy_rain,1
Trincomalee,Galle,Trincomalee_Galle_B,B,65,28,medium,146,13.055,Aggressive,Model 3,light_rain,0
Trincomalee,Galle,Trincomalee_Galle_C,C,55,52,medium,66,13.9,Aggressive,ZS EV,heavy_rain,0
Kurunegala,Colombo,Kurunegala_Colombo_A,A,56,47,medium,75,8.652,Normal,Model 3,light_rain,1
Kurunegala,Colombo,Kurunegala_Colombo_B,B,71,61,high,83,11.502,Eco,ZS EV,sunny,0
Kurunegala,Colombo,Kurunegala_Colombo_C,C,56,33,high,122,8.652,Normal,Model 3,light_rain,0
Jaffna,Trincomalee,Jaffna_Trincomalee_A,A,102,45,medium,142,16.524,Normal,Model 3,heavy_rain,1
Jaffna,Trincomalee,Jaffna_Trincomalee_B,B,96,39,high,177,16.483,Normal,Atto 3,cloudy,0
Jaffna,Trincomalee,Jaffna_Trincomalee_C,C,109,37,high,212,18.312,Normal,Model 3,monsoon,0
Batticaloa,Matara,Batticaloa_Matara_A,A,85,46,medium,116,20.288,Aggressive,Atto 3,heavy_rain,0
Batticaloa,Matara,Batticaloa_Matara_B,B,68,50,high,97,12.186,Normal,Leaf,monsoon,1
Batticaloa,Matara,Batticaloa_Matara_C,C,84,57,high,106,12.981,Eco,Atto 3,cloudy,0
Matara,Batticaloa,Matara_Batticaloa_A,A,97,49,high,142,15.644,Eco,Leaf,monsoon,1
Matara,Batticaloa,Matara_Batticaloa_B,B,116,33,high,253,23.386,Normal,ZS EV,monsoon,0
Matara,Batticaloa,Matara_Batticaloa_C,C,118,20,medium,371,21.146,Normal,Leaf,monsoon,0
Ratnapura,Trincomalee,Ratnapura_Trincomalee_A,A,111,52,high,153,18.521,Eco,ZS EV,light_rain,1
Ratnapura,Trincomalee,Ratnapura_Trincomalee_B,B,146,70,high,150,24.061,Normal,Leaf,light_rain,0
Ratnapura,Trincomalee,Ratnapura_Trincomalee_C,C,138,59,medium,147,32.615,Aggressive,ZS EV,cloudy,0
Colombo,Matara,Colombo_Matara_A,A,34,38,high,64,5.78,Normal,Atto 3,sunny,1
Colombo,Matara,Colombo_Matara_B,B,35,38,low,55,7.353,Aggressive,Leaf,cloudy,0
Colombo,Matara,Colombo_Matara_C,C,36,54,high,48,6.221,Normal,Leaf,heavy_rain,0
Colombo,Galle,Colombo_Galle_A,A,72,48,high,108,11.124,Normal,Model 3,light_rain,1
Colombo,Galle,Colombo_Galle_B,B,92,36,low,153,14.867,Normal,Leaf,cloudy,0
Colombo,Galle,Colombo_Galle_C,C,75,35,low,128,11.25,Normal,Model 3,sunny,0
Anuradhapura,Jaffna,Anuradhapura_Jaffna_A,A,55,56,medium,61,9.444,Normal,Atto 3,cloudy,0
