trip_id,vehicle_model,battery_capacity_kWh,battery_start_%,battery_start_kWh,eff_kWh_per_km,max_possible_km,predicted_remaining_km
TR000243,ZS EV,60,42.3,25.38,0.18,141.0,111.27
TR000244,Model 3,60,63.91,38.346,0.1425,269.09,147.97
TR000245,ZS EV,50,72.44,36.22,0.216,167.69,154.03
TR000246,Atto 3,60,80.89,48.534,0.17,285.49,233.5
TR000247,Leaf,75,83.2,62.4,0.16,390.0,214.38
TR000248,Atto 3,60,46.26,27.756,0.1615,171.86,101.42
TR000249,Model 3,60,99.19,59.514,0.15,396.76,300.07
TR000250,Atto 3,75,83.78,62.835,0.17,369.62,169.13
TR000251,Atto 3,60,87.0,52.2,0.17,307.06,193.65
TR000252,Leaf,75,90.62,67.965,0.152,447.14,164.76
TR000253,Leaf,50,85.37,42.685,0.192,222.32,92.7
TR000254,Model 3,60,75.42,45.252,0.15,301.68,0.0
TR000255,Model 3,40,55.94,22.376,0.15,149.17,0.0
TR000256,ZS EV,60,57.88,34.728,0.18,192.93,0.0
TR000257,ZS EV,50,64.8,32.4,0.216,150.0,34.05
TR000258,Atto 3,75,90.88,68.16,0.1615,422.04,321.93
TR000259,Leaf,60,92.47,55.482,0.192,288.97,202.07
TR000260,Model 3,40,58.32,23.328,0.15,155.52,86.25
TR000261,Model 3,60,70.08,42.048,0.15,280.32,53.31
TR000262,Atto 3,40,69.72,27.888,0.17,164.05,0.0
TR000263,Atto 3,50,53.77,26.885,0.17,158.15,65.66
TR000264,ZS EV,60,87.36,52.416,0.18,291.2,96.22
TR000265,Atto 3,75,94.47,70.853,0.1615,438.72,281.58
TR000266,Leaf,75,51.98,38.985,0.16,243.66,185.77
TR000267,Model 3,75,51.21,38.407,0.15,256.05,0.0
TR000268,Model 3,40,52.62,21.048,0.15,140.32,0.0
TR000269,ZS EV,40,79.77,31.908,0.216,147.72,0.0
TR000270,Model 3,75,52.76,39.57,0.15,263.8,0.0
TR000271,ZS EV,50,56.94,28.47,0.18,158.17,103.55
TR000272,Leaf,60,97.64,58.584,0.16,366.15,262.52
TR000273,ZS EV,75,99.29,74.468,0.18,413.71,226.43
TR000274,Atto 3,75,79.6,59.7,0.204,292.65,13.39
TR000275,Atto 3,50,65.55,32.775,0.17,192.79,0.0
TR000276,Model 3,75,66.94,50.205,0.15,334.7,264.49
TR000277,Model 3,60,48.35,29.01,0.15,193.4,0.0
TR000278,Model 3,75,76.59,57.443,0.15,382.95,303.1
TR000279,Leaf,40,83.82,33.528,0.16,209.55,92.28
TR000280,ZS EV,60,59.21,35.526,0.18,197.37,35.53
TR000281,Atto 3,60,75.96,45.576,0.17,268.09,77.94
TR000282,ZS EV,50,71.01,35.505,0.18,197.25,0.0
TR000283,Model 3,40,69.02,27.608,0.15,184.05,0.0
TR000284,Atto 3,60,92.02,55.212,0.17,324.78,191.3
TR000285,ZS EV,40,87.33,34.932,0.18,194.07,0.0
TR000286,Model 3,60,46.19,27.714,0.15,184.76,0.0
TR000287,Leaf,60,84.0,50.4,0.16,315.0,92.58
TR000288,Atto 3,75,73.33,54.998,0.17,323.51,275.17
TR000289,Leaf,40,58.05,23.22,0.192,120.94,94.83
TR000290,Leaf,60,42.19,25.314,0.16,158.21,0.0
TR000291,Leaf,75,58.7,44.025,0.16,275.16,186.19
TR000292,Model 3,60,81.41,48.846,0.15,325.64,242.67
TR000293,ZS EV,75,55.29,41.468,0.18,230.38,0.0
TR000294,ZS EV,60,49.66,29.796,0.216,137.94,40.86
TR000295,Atto 3,75,89.0,66.75,0.1615,413.31,165.7
TR000296,Leaf,75,86.56,64.92,0.192,338.12,282.3
TR000297,ZS EV,40,79.7,31.88,0.216,147.59,49.88
TR000298,ZS EV,60,40.52,24.312,0.18,135.07,0.0
TR000299,Atto 3,40,78.32,31.328,0.17,184.28,144.97
TR000300,ZS EV,60,56.32,33.792,0.171,197.61,42.85
TR000301,Atto 3,60,91.35,54.81,0.204,268.68,0.0
TR000302,Leaf,75,95.46,71.595,0.192,372.89,25.03
TR000303,Leaf,75,96.45,72.338,0.192,376.76,259.0
TR000304,Leaf,50,40.52,20.26,0.192,105.52,0.0
TR000305,Model 3,60,96.83,58.098,0.18,322.77,227.78
TR000306,Leaf,40,98.89,39.556,0.16,247.22,115.99
TR000307,Atto 3,50,64.21,32.105,0.204,157.38,65.55
TR000308,Model 3,75,80.79,60.593,0.1425,425.21,269.81
TR000309,Leaf,40,66.16,26.464,0.152,174.11,121.58
TR000310,ZS EV,50,74.96,37.48,0.18,208.22,52.0
TR000311,ZS EV,60,59.1,35.46,0.18,197.0,150.91
TR000312,ZS EV,75,54.31,40.733,0.216,188.58,129.35
TR000313,Model 3,40,40.95,16.38,0.15,109.2,0.0
TR000314,ZS EV,75,56.85,42.638,0.171,249.34,25.25
TR000315,ZS EV,50,95.35,47.675,0.18,264.86,85.88
TR000316,ZS EV,60,49.29,29.574,0.18,164.3,109.75
TR000317,Atto 3,50,99.93,49.965,0.204,244.93,120.09
TR000318,Atto 3,50,68.86,34.43,0.1615,213.19,148.55
TR000319,ZS EV,50,41.51,20.755,0.18,115.31,0.0
TR000320,Leaf,50,61.36,30.68,0.152,201.84,41.05
TR000321,ZS EV,40,49.67,19.868,0.18,110.38,0.0
TR000322,Atto 3,50,82.08,41.04,0.17,241.41,48.82
TR000323,Atto 3,50,96.64,48.32,0.204,236.86,0.0
TR000324,ZS EV,75,49.94,37.455,0.171,219.04,0.0
TR000325,Atto 3,75,66.72,50.04,0.204,245.29,0.0
TR000326,Atto 3,40,64.17,25.668,0.17,150.99,0.0
TR000327,Leaf,75,80.8,60.6,0.192,315.62,0.0
TR000328,Leaf,75,86.25,64.688,0.192,336.91,223.04
TR000329,Leaf,60,69.72,41.832,0.16,261.45,213.74
TR000330,ZS EV,50,42.06,21.03,0.216,97.36,0.0
TR000331,Model 3,50,77.9,38.95,0.15,259.67,38.77
TR000332,Atto 3,60,78.26,46.956,0.17,276.21,0.0
TR000333,Atto 3,40,73.51,29.404,0.204,144.14,60.25
TR000334,ZS EV,40,89.16,35.664,0.18,198.13,0.0
TR000335,ZS EV,75,66.78,50.085,0.216,231.88,0.0
TR000336,ZS EV,75,86.66,64.995,0.18,361.08,124.93
TR000337,Atto 3,60,40.11,24.066,0.17,141.56,64.05
TR000338,ZS EV,50,64.08,32.04,0.216,148.33,52.4
TR000339,Model 3,60,94.27,56.562,0.15,377.08,219.92
TR000340,ZS EV,75,66.42,49.815,0.171,291.32,0.0
TR000341,ZS EV,75,96.76,72.57,0.18,403.17,315.43
TR000342,Model 3,40,69.32,27.728,0.15,184.85,75.42
TR000343,Leaf,40,57.21,22.884,0.16,143.03,0.0
TR000344,ZS EV,75,67.43,50.573,0.216,234.13,0.0
TR000345,ZS EV,50,88.45,44.225,0.18,245.69,152.77
TR000346,Leaf,60,61.54,36.924,0.16,230.78,162.3
TR000347,ZS EV,40,81.53,32.612,0.18,181.18,0.0
TR000348,Atto 3,50,50.55,25.275,0.17,148.68,0.0
TR000349,Model 3,40,44.99,17.996,0.15,119.97,7.77
TR000350,Model 3,60,65.54,39.324,0.15,262.16,118.83
TR000351,Atto 3,40,58.26,23.304,0.204,114.24,0.0
TR000352,Atto 3,50,68.37,34.185,0.17,201.09,28.9
TR000353,ZS EV,75,64.46,48.345,0.171,282.72,192.43
TR000354,Leaf,50,54.83,27.415,0.16,171.34,32.44
TR000355,Model 3,60,40.66,24.396,0.15,162.64,0.0
TR000356,Leaf,40,71.06,28.424,0.16,177.65,101.14
TR000357,Model 3,75,79.39,59.542,0.15,396.95,179.34
TR000358,Model 3,40,87.28,34.912,0.15,232.75,0.0
TR000359,ZS EV,60,86.23,51.738,0.18,287.43,121.43
TR000360,Atto 3,75,48.72,36.54,0.17,214.94,112.46
TR000361,Model 3,60,79.63,47.778,0.15,318.52,270.07
TR000362,Atto 3,75,91.71,68.782,0.1615,425.9,352.54
TR000363,Atto 3,50,55.59,27.795,0.204,136.25,27.61
TR000364,Atto 3,40,61.85,24.74,0.17,145.53,0.0
TR000365,ZS EV,50,42.23,21.115,0.171,123.48,0.0
TR000366,Model 3,60,90.4,54.24,0.18,301.33,28.76
TR000367,Leaf,75,68.77,51.578,0.16,322.36,222.72
TR000368,Atto 3,75,75.01,56.258,0.17,330.93,0.0
TR000369,Model 3,75,90.14,67.605,0.15,450.7,397.55
TR000370,Model 3,50,91.7,45.85,0.15,305.67,244.2
TR000371,Leaf,60,70.2,42.12,0.16,263.25,177.96
TR000372,Atto 3,75,71.36,53.52,0.17,314.82,56.57
TR000373,Atto 3,75,86.1,64.575,0.204,316.54,186.58
TR000374,Model 3,75,40.85,30.637,0.1425,215.0,111.69
TR000375,Atto 3,60,74.42,44.652,0.17,262.66,170.71
TR000376,Model 3,60,70.46,42.276,0.15,281.84,195.23
TR000377,Leaf,40,71.39,28.556,0.16,178.47,0.0
TR000378,Leaf,40,93.7,37.48,0.16,234.25,103.39
TR000379,Leaf,40,94.72,37.888,0.16,236.8,0.0
TR000380,ZS EV,60,44.78,26.868,0.18,149.27,87.78
TR000381,ZS EV,50,90.44,45.22,0.18,251.22,0.0
TR000382,ZS EV,40,63.4,25.36,0.216,117.41,10.72
TR000383,Leaf,60,62.09,37.254,0.16,232.84,0.0
TR000384,ZS EV,60,83.15,49.89,0.18,277.17,0.0
TR000385,Atto 3,60,94.49,56.694,0.17,333.49,261.78
TR000386,Model 3,75,63.64,47.73,0.1425,334.95,81.35
TR000387,ZS EV,50,75.72,37.86,0.18,210.33,0.0
TR000388,ZS EV,75,47.98,35.985,0.18,199.92,53.6
TR000389,ZS EV,75,71.68,53.76,0.18,298.67,0.0
TR000390,Model 3,50,65.43,32.715,0.15,218.1,0.0
TR000391,Atto 3,75,69.99,52.492,0.17,308.78,212.9
TR000392,Leaf,75,48.35,36.263,0.16,226.64,69.67
TR000393,Model 3,75,68.83,51.623,0.1425,362.26,94.1
TR000394,Model 3,75,74.49,55.867,0.15,372.45,168.48
TR000395,Atto 3,75,65.77,49.328,0.17,290.16,125.76
TR000396,ZS EV,60,78.42,47.052,0.18,261.4,139.56
TR000397,ZS EV,75,78.64,58.98,0.18,327.67,275.55
TR000398,Leaf,50,53.74,26.87,0.16,167.94,0.0
TR000399,ZS EV,50,71.58,35.79,0.216,165.69,114.78
TR000400,Leaf,40,78.59,31.436,0.152,206.82,0.0
TR000401,Leaf,50,84.81,42.405,0.152,278.98,26.98
TR000402,ZS EV,75,84.7,63.525,0.216,294.1,98.41
TR000403,Model 3,50,72.16,36.08,0.15,240.53,94.48
TR000404,Leaf,50,43.45,21.725,0.192,113.15,0.0
TR000405,Model 3,60,49.22,29.532,0.18,164.07,72.06
TR000406,Atto 3,60,85.86,51.516,0.17,303.04,114.32
TR000407,Model 3,40,83.55,33.42,0.15,222.8,0.0
TR000408,ZS EV,50,47.22,23.61,0.18,131.17,0.0
TR000409,Model 3,75,86.4,64.8,0.15,432.0,146.39
TR000410,ZS EV,50,60.09,30.045,0.18,166.92,1.83
TR000411,Atto 3,50,79.68,39.84,0.204,195.29,68.26
TR000412,Atto 3,60,90.51,54.306,0.204,266.21,61.25
TR000413,Atto 3,60,83.58,50.148,0.1615,310.51,59.76
TR000414,Atto 3,50,67.96,33.98,0.204,166.57,34.77
TR000415,ZS EV,50,95.99,47.995,0.216,222.2,61.79
TR000416,Leaf,50,97.53,48.765,0.16,304.78,0.0
TR000417,ZS EV,60,42.25,25.35,0.171,148.25,58.89
TR000418,Leaf,75,75.25,56.438,0.16,352.73,237.78
TR000419,Atto 3,60,51.42,30.852,0.17,181.48,45.26
TR000420,ZS EV,60,83.72,50.232,0.18,279.07,197.38
TR000421,Leaf,60,74.98,44.988,0.192,234.31,156.88
TR000422,ZS EV,40,72.62,29.048,0.171,169.87,0.0
TR000423,Leaf,40,90.67,36.268,0.192,188.9,94.58
TR000424,Model 3,75,84.74,63.555,0.1425,446.0,397.16
TR000425,ZS EV,50,49.06,24.53,0.18,136.28,0.0
