trip_id,driver_id,vehicle_make,vehicle_model,origin,destination,distance_km,elevation_gain_m,trip_date,avg_speed,max_speed,acceleration_mean,acceleration_std,braking_intensity,trip_duration_min,road_type,weather,time_of_day,driving_style
TR000021,DRV0183,MG,ZS EV,Matara,Galle,101,66,2025-03-29 19:18:26,37.34,48.7,1.027,0.925,0.582,189,highway,heavy_rain,evening,Normal
TR000022,DRV0097,MG,ZS EV,Batticaloa,Matara,248,243,2024-11-25 19:18:26,42.87,58.6,0.388,0.067,0.398,325,rural,sunny,morning,Eco
TR000023,DRV0260,Tesla,Model 3,Colombo,Ratnapura,297,478,2024-12-17 19:18:26,35.73,46.41,0.736,0.391,0.477,540,rural,sunny,night,Normal
TR000024,DRV0384,Tesla,Model 3,Jaffna,Colombo,194,231,2024-12-01 19:18:26,31.0,32.68,1.27,0.879,0.697,373,highway,heavy_rain,night,Normal
TR000025,DRV0105,Nissan,Leaf,Matara,Trincomalee,200,145,2025-01-13 19:18:26,53.81,70.53,1.544,1.055,1.29,225,coastal,cloudy,afternoon,Aggressive
TR000026,DRV0089,Nissan,Leaf,Trincomalee,Batticaloa,93,64,2025-05-22 19:18:26,49.98,70.6,1.306,0.535,0.282,111,city,sunny,night,Normal
TR000027,DRV0394,Nissan,Leaf,Ratnapura,Trincomalee,174,117,2024-11-25 19:18:26,54.52,66.99,0.5,0.171,0.179,179,city,light_rain,afternoon,Eco
TR000028,DRV0042,BYD,Atto 3,Ratnapura,Kurunegala,214,122,2025-08-07 19:18:26,42.11,51.36,1.653,1.024,0.897,302,city,heavy_rain,night,Aggressive
TR000029,DRV0141,BYD,Atto 3,Matara,Colombo,131,137,2025-10-21 19:18:26,47.82,60.67,1.086,0.69,0.322,165,coastal,cloudy,morning,Normal
TR000030,DRV0003,MG,ZS EV,Ratnapura,Galle,425,404,2025-08-09 19:18:26,45.3,59.2,0.519,0.271,0.286,545,highway,cloudy,afternoon,Eco
TR000031,DRV0340,Tesla,Model 3,Colombo,Trincomalee,216,61,2025-05-06 19:18:26,53.39,70.98,1.478,0.681,0.741,244,rural,sunny,evening,Aggressive
TR000032,DRV0377,MG,ZS EV,Ratnapura,Kandy,366,190,2025-02-11 19:18:26,53.19,69.79,1.13,0.478,0.199,449,highway,heavy_rain,evening,Normal
TR000033,DRV0399,Tesla,Model 3,Matara,Kandy,35,93,2025-02-09 19:18:26,39.28,45.72,0.396,0.265,0.203,59,highway,cloudy,night,Eco
TR000034,DRV0001,MG,ZS EV,Ratnapura,Matara,274,234,2025-01-17 19:18:26,30.22,52.69,1.399,0.983,0.376,498,rural,sunny,night,Normal
TR000035,DRV0380,MG,ZS EV,Matara,Kandy,68,74,2025-07-16 19:18:26,48.05,66.17,1.126,0.532,0.8,95,highway,sunny,night,Normal
TR000036,DRV0043,Tesla,Model 3,Galle,Batticaloa,204,246,2025-08-08 19:18:26,54.01,56.29,0.485,0.269,0.334,234,coastal,sunny,afternoon,Eco
TR000037,DRV0230,Tesla,Model 3,Anuradhapura,Galle,167,151,2025-10-05 19:18:26,35.18,49.34,0.682,0.185,0.837,244,rural,cloudy,morning,Normal
TR000038,DRV0372,Nissan,Leaf,Matara,Galle,103,79,2025-03-14 19:18:26,59.79,76.93,2.001,1.172,0.737,100,coastal,monsoon,evening,Aggressive
TR000039,DRV0198,BYD,Atto 3,Anuradhapura,Matara,94,95,2024-12-05 19:18:26,33.06,46.05,0.638,0.471,0.749,157,rural,light_rain,morning,Normal
TR000040,DRV0195,BYD,Atto 3,Batticaloa,Anuradhapura,230,102,2025-05-20 19:18:26,42.67,52.18,1.086,0.549,0.646,365,highway,sunny,afternoon,Normal
TR000041,DRV0371,Tesla,Model 3,Trincomalee,Kurunegala,88,72,2025-06-20 19:18:26,41.37,57.67,0.732,0.941,0.042,124,highway,heavy_rain,night,Normal
TR000042,DRV0352,MG,ZS EV,Trincomalee,Colombo,260,193,2025-07-06 19:18:26,43.02,54.43,0.826,0.387,0.891,373,rural,heavy_rain,night,Normal
TR000043,DRV0268,Tesla,Model 3,Anuradhapura,Batticaloa,164,38,2025-01-30 19:18:26,41.23,52.02,0.951,0.603,0.307,200,rural,sunny,morning,Normal
TR000044,DRV0275,MG,ZS EV,Ratnapura,Kandy,289,203,2025-03-15 19:18:26,40.99,48.2,0.644,0.995,0.225,437,highway,light_rain,afternoon,Normal
TR000045,DRV0061,Nissan,Leaf,Ratnapura,Trincomalee,125,141,2025-01-14 19:18:26,53.02,67.64,1.143,0.622,0.323,140,highway,sunny,night,Normal
TR000046,DRV0117,MG,ZS EV,Kurunegala,Galle,191,81,2025-04-01 19:18:26,45.45,53.22,0.718,0.774,0.648,289,highway,sunny,afternoon,Normal
TR000047,DRV0299,Tesla,Model 3,Matara,Anuradhapura,48,34,2025-09-13 19:18:26,48.22,67.1,2.051,1.238,1.675,60,rural,monsoon,morning,Aggressive
TR000048,DRV0319,MG,ZS EV,Anuradhapura,Ratnapura,214,234,2025-03-08 19:18:26,41.5,65.66,0.993,0.488,0.651,330,highway,monsoon,evening,Normal
TR000049,DRV0197,MG,ZS EV,Colombo,Ratnapura,356,288,2025-02-17 19:18:26,47.79,50.53,0.582,0.003,0.755,436,city,heavy_rain,morning,Normal
TR000050,DRV0242,Nissan,Leaf,Galle,Jaffna,272,132,2025-07-07 19:18:26,53.69,61.24,2.047,0.97,0.163,335,rural,light_rain,morning,Aggressive
TR000051,DRV0389,Tesla,Model 3,Colombo,Batticaloa,215,98,2025-10-18 19:18:26,42.1,55.22,0.513,0.281,0.356,321,coastal,sunny,night,Eco
TR000052,DRV0227,BYD,Atto 3,Galle,Jaffna,240,113,2025-08-19 19:18:26,42.71,65.7,0.596,0.605,0.717,348,city,heavy_rain,night,Normal
TR000053,DRV0152,MG,ZS EV,Kurunegala,Colombo,210,134,2025-05-14 19:18:26,48.17,54.4,0.634,0.345,0.294,289,city,sunny,morning,Normal
TR000054,DRV0237,Tesla,Model 3,Galle,Batticaloa,246,300,2025-10-14 19:18:26,27.34,31.78,1.381,0.721,0.395,463,city,cloudy,night,Normal
TR000055,DRV0283,Nissan,Leaf,Matara,Colombo,156,87,2025-05-02 19:18:26,39.86,56.9,1.275,0.095,0.389,227,rural,light_rain,morning,Normal
TR000056,DRV0315,BYD,Atto 3,Colombo,Kandy,142,134,2025-08-09 19:18:26,57.95,81.07,0.295,0.365,0.46,149,coastal,heavy_rain,evening,Normal
TR000057,DRV0334,Tesla,Model 3,Galle,Jaffna,264,218,2025-08-07 19:18:26,46.62,64.04,1.159,0.935,0.104,321,city,sunny,night,Normal
TR000058,DRV0167,Tesla,Model 3,Trincomalee,Jaffna,53,41,2024-11-17 19:18:26,46.69,59.98,0.549,0.615,0.712,66,highway,cloudy,night,Normal
TR000059,DRV0053,Tesla,Model 3,Kandy,Trincomalee,174,150,2025-03-10 19:18:26,64.39,71.76,0.98,0.621,0.41,159,coastal,heavy_rain,night,Normal
TR000060,DRV0024,BYD,Atto 3,Kandy,Colombo,94,130,2025-03-29 19:18:26,28.89,34.86,1.129,0.591,0.62,169,coastal,sunny,evening,Normal
TR000061,DRV0051,Nissan,Leaf,Trincomalee,Kurunegala,35,71,2025-01-01 19:18:26,31.7,53.26,1.214,0.465,0.69,67,city,sunny,evening,Normal
TR000062,DRV0361,Nissan,Leaf,Kandy,Matara,52,73,2025-01-18 19:18:26,61.69,68.33,0.569,0.705,0.224,51,city,sunny,night,Normal
TR000063,DRV0052,MG,ZS EV,Batticaloa,Jaffna,41,40,2024-12-28 19:18:26,66.43,68.28,0.554,0.4,0.238,39,coastal,sunny,morning,Eco
TR000064,DRV0241,BYD,Atto 3,Jaffna,Ratnapura,55,128,2025-10-15 19:18:26,48.19,57.41,0.146,0.31,0.274,72,highway,light_rain,morning,Eco
TR000065,DRV0181,Nissan,Leaf,Galle,Jaffna,274,182,2025-09-07 19:18:26,61.13,69.11,0.982,0.638,0.475,281,rural,sunny,morning,Normal
TR000066,DRV0386,MG,ZS EV,Jaffna,Anuradhapura,102,47,2025-02-26 19:18:26,43.66,47.96,0.979,0.472,0.314,134,coastal,cloudy,morning,Normal
TR000067,DRV0305,MG,ZS EV,Kurunegala,Anuradhapura,72,43,2025-07-07 19:18:26,55.63,77.19,0.35,0.499,0.378,79,highway,light_rain,morning,Eco
TR000068,DRV0134,BYD,Atto 3,Trincomalee,Kurunegala,110,65,2024-11-25 19:18:26,58.95,79.79,0.453,0.323,0.373,112,coastal,cloudy,night,Eco
TR000069,DRV0020,MG,ZS EV,Kandy,Batticaloa,273,282,2025-03-06 19:18:26,34.64,43.03,2.426,0.935,1.462,473,highway,sunny,evening,Aggressive
TR000070,DRV0165,Tesla,Model 3,Jaffna,Galle,265,102,2025-08-16 19:18:26,32.24,48.52,1.659,1.359,0.926,472,coastal,sunny,evening,Aggressive
TR000071,DRV0264,Tesla,Model 3,Ratnapura,Colombo,132,214,2025-10-23 19:18:26,45.22,55.07,1.008,1.136,0.178,170,highway,light_rain,morning,Aggressive
TR000072,DRV0074,Tesla,Model 3,Kurunegala,Jaffna,173,95,2025-05-10 19:18:26,56.35,69.29,0.668,0.556,0.438,185,coastal,sunny,afternoon,Normal
TR000073,DRV0261,BYD,Atto 3,Jaffna,Batticaloa,43,45,2025-02-19 19:18:26,34.42,42.96,0.345,0.209,0.354,82,rural,cloudy,afternoon,Eco
TR000074,DRV0028,Nissan,Leaf,Anuradhapura,Trincomalee,45,46,2025-04-06 19:18:26,57.39,65.57,0.235,0.537,0.412,48,coastal,sunny,evening,Normal
TR000075,DRV0274,Tesla,Model 3,Matara,Batticaloa,320,156,2025-05-05 19:18:26,60.25,75.92,0.845,1.04,0.36,308,highway,sunny,night,Aggressive
TR000076,DRV0347,Tesla,Model 3,Ratnapura,Trincomalee,98,116,2025-03-02 19:18:26,50.15,50.68,0.981,1.113,1.072,104,city,sunny,afternoon,Aggressive
TR000077,DRV0132,MG,ZS EV,Ratnapura,Trincomalee,129,172,2024-12-31 19:18:26,67.91,85.31,0.687,0.456,0.127,114,city,monsoon,morning,Normal
TR000078,DRV0331,Tesla,Model 3,Matara,Trincomalee,162,48,2025-08-23 19:18:26,30.54,36.86,0.515,0.206,0.338,318,highway,cloudy,evening,Eco
TR000079,DRV0187,Tesla,Model 3,Ratnapura,Matara,383,269,2025-01-30 19:18:26,59.59,81.41,0.337,0.221,0.158,383,highway,cloudy,afternoon,Eco
TR000080,DRV0190,Nissan,Leaf,Anuradhapura,Kandy,118,121,2025-06-17 19:18:26,30.85,40.07,0.249,0.472,0.461,223,city,heavy_rain,afternoon,Normal
TR000081,DRV0207,Nissan,Leaf,Matara,Colombo,148,42,2025-06-14 19:18:26,46.23,57.68,0.452,0.054,0.446,183,highway,cloudy,evening,Normal
TR000082,DRV0358,MG,ZS EV,Jaffna,Colombo,284,129,2025-02-03 19:18:26,53.17,53.76,0.209,0.107,0.176,327,rural,monsoon,evening,Eco
TR000083,DRV0056,Nissan,Leaf,Trincomalee,Matara,156,121,2025-08-19 19:18:26,56.32,67.12,0.577,0.286,0.494,168,city,light_rain,night,Normal
TR000084,DRV0351,BYD,Atto 3,Kurunegala,Ratnapura,192,137,2025-07-29 19:18:26,39.45,51.79,0.964,0.432,0.482,281,city,sunny,afternoon,Normal
TR000085,DRV0289,BYD,Atto 3,Jaffna,Galle,242,189,2024-11-24 19:18:26,60.27,69.52,1.401,0.788,1.118,243,highway,sunny,evening,Aggressive
TR000086,DRV0296,BYD,Atto 3,Anuradhapura,Batticaloa,155,102,2025-03-01 19:18:26,55.8,68.12,1.017,0.387,0.65,176,rural,cloudy,afternoon,Normal
TR000087,DRV0152,BYD,Atto 3,Kurunegala,Galle,114,105,2025-06-10 19:18:26,30.45,42.95,1.07,0.93,0.17,234,rural,sunny,night,Normal
TR000088,DRV0027,BYD,Atto 3,Trincomalee,Ratnapura,111,106,2025-02-14 19:18:26,60.62,66.01,0.956,0.758,0.613,126,city,light_rain,afternoon,Normal
TR000089,DRV0286,BYD,Atto 3,Jaffna,Matara,213,108,2025-05-04 19:18:26,31.37,35.84,2.173,1.559,0.801,372,rural,light_rain,evening,Aggressive
TR000090,DRV0081,Tesla,Model 3,Jaffna,Matara,127,78,2025-09-06 19:18:26,34.14,50.68,0.399,0.178,0.11,208,city,sunny,afternoon,Eco
TR000091,DRV0322,BYD,Atto 3,Anuradhapura,Jaffna,109,96,2025-09-29 19:18:26,50.64,68.68,1.151,0.612,0.637,130,city,monsoon,evening,Normal
TR000092,DRV0329,BYD,Atto 3,Ratnapura,Matara,280,310,2025-10-01 19:18:26,38.53,46.06,0.516,0.857,0.383,409,city,light_rain,morning,Normal
TR000093,DRV0366,MG,ZS EV,Jaffna,Matara,188,76,2024-12-15 19:18:26,47.08,54.65,1.072,0.45,0.182,217,city,sunny,morning,Normal
TR000094,DRV0300,Tesla,Model 3,Galle,Jaffna,250,189,2024-10-28 19:18:26,41.56,58.03,0.814,0.77,0.434,400,city,heavy_rain,afternoon,Normal
TR000095,DRV0149,Nissan,Leaf,Anuradhapura,Kurunegala,72,34,2025-08-23 19:18:26,52.35,63.73,0.883,0.811,0.293,73,city,heavy_rain,night,Normal
TR000096,DRV0213,BYD,Atto 3,Jaffna,Matara,184,74,2025-03-23 19:18:26,28.08,29.51,1.794,1.131,0.75,347,coastal,sunny,evening,Aggressive
TR000097,DRV0227,Nissan,Leaf,Matara,Ratnapura,274,133,2025-01-06 19:18:26,58.93,62.59,0.745,0.219,0.372,311,rural,cloudy,afternoon,Normal
TR000098,DRV0004,BYD,Atto 3,Jaffna,Kandy,263,144,2025-09-26 19:18:26,42.14,52.39,0.236,0.116,0.137,375,rural,sunny,afternoon,Eco
TR000099,DRV0120,Tesla,Model 3,Anuradhapura,Ratnapura,232,249,2025-08-31 19:18:26,36.92,63.49,1.156,1.647,1.113,421,city,sunny,afternoon,Aggressive
TR000100,DRV0279,Tesla,Model 3,Ratnapura,Colombo,172,443,2025-06-29 19:18:26,42.23,50.82,1.922,1.423,0.624,260,highway,light_rain,evening,Aggressive
TR000101,DRV0374,Tesla,Model 3,Galle,Jaffna,270,223,2025-07-19 19:18:26,25.86,27.04,0.082,0.029,0.13,504,highway,heavy_rain,morning,Eco
TR000102,DRV0391,BYD,Atto 3,Colombo,Kurunegala,205,110,2025-06-10 19:18:26,37.48,47.2,0.494,0.227,0.471,350,coastal,cloudy,morning,Normal
TR000103,DRV0022,MG,ZS EV,Matara,Kurunegala,17,10,2025-07-28 19:18:26,51.18,57.03,0.596,0.528,0.568,20,highway,sunny,afternoon,Normal
TR000104,DRV0306,Nissan,Leaf,Jaffna,Anuradhapura,125,49,2025-08-28 19:18:26,34.79,39.36,1.259,0.793,0.013,198,city,heavy_rain,night,Normal
TR000105,DRV0096,Nissan,Leaf,Galle,Jaffna,289,251,2024-11-04 19:18:26,38.92,53.33,0.552,0.287,0.205,422,coastal,cloudy,afternoon,Eco
TR000106,DRV0286,Nissan,Leaf,Colombo,Ratnapura,368,396,2025-02-23 19:18:26,40.11,47.81,0.638,0.197,0.814,538,coastal,heavy_rain,afternoon,Normal
TR000107,DRV0266,MG,ZS EV,Colombo,Ratnapura,297,356,2025-06-23 19:18:26,39.51,41.91,0.626,0.184,0.266,431,rural,cloudy,evening,Normal
TR000108,DRV0367,Nissan,Leaf,Colombo,Matara,151,34,2025-01-18 19:18:26,43.23,48.26,0.531,0.287,0.291,200,rural,cloudy,evening,Eco
TR000109,DRV0163,Nissan,Leaf,Kandy,Colombo,98,121,2025-07-30 19:18:26,55.1,68.44,0.502,0.242,0.175,100,highway,cloudy,morning,Eco
TR000110,DRV0099,BYD,Atto 3,Kurunegala,Anuradhapura,49,25,2025-03-05 19:18:26,39.66,42.4,0.833,0.551,0.456,67,city,light_rain,morning,Normal
TR000111,DRV0206,Nissan,Leaf,Kurunegala,Ratnapura,226,161,2025-10-07 19:18:26,43.44,47.51,2.151,1.351,1.546,327,coastal,light_rain,evening,Aggressive
TR000112,DRV0307,Tesla,Model 3,Kandy,Batticaloa,285,314,2025-01-07 19:18:26,44.02,46.04,0.364,0.107,0.224,356,coastal,light_rain,evening,Eco
TR000113,DRV0126,MG,ZS EV,Ratnapura,Trincomalee,114,165,2025-04-12 19:18:26,39.99,47.23,1.948,0.971,0.641,171,rural,cloudy,afternoon,Aggressive
TR000114,DRV0296,BYD,Atto 3,Matara,Galle,53,56,2024-12-01 19:18:26,59.02,65.8,0.95,0.787,0.61,54,coastal,heavy_rain,evening,Normal
TR000115,DRV0020,BYD,Atto 3,Matara,Jaffna,127,138,2025-01-31 19:18:26,17.28,31.66,1.109,0.579,0.009,377,coastal,monsoon,night,Normal
TR000116,DRV0353,MG,ZS EV,Ratnapura,Galle,351,345,2025-01-18 19:18:26,59.73,74.05,0.849,0.84,0.586,352,coastal,sunny,morning,Normal
TR000117,DRV0284,Tesla,Model 3,Galle,Kurunegala,112,30,2025-09-18 19:18:26,51.4,61.98,0.672,0.168,0.09,132,city,sunny,morning,Normal
TR000118,DRV0296,BYD,Atto 3,Ratnapura,Galle,467,154,2025-03-09 19:18:26,52.41,63.03,0.384,0.193,0.319,491,city,light_rain,evening,Eco
TR000119,DRV0358,BYD,Atto 3,Jaffna,Batticaloa,54,11,2024-12-24 19:18:26,38.84,60.2,0.997,0.713,1.125,80,coastal,sunny,afternoon,Aggressive
TR000120,DRV0281,Tesla,Model 3,Batticaloa,Kandy,207,243,2025-05-23 19:18:26,35.1,44.98,1.207,0.943,0.848,364,rural,light_rain,afternoon,Normal
TR000121,DRV0393,Tesla,Model 3,Matara,Galle,116,94,2025-03-23 19:18:26,32.78,35.46,0.964,0.504,0.443,216,highway,light_rain,afternoon,Normal
TR000122,DRV0106,Nissan,Leaf,Jaffna,Batticaloa,46,41,2025-02-28 19:18:26,36.55,42.86,0.359,0.217,0.185,75,rural,heavy_rain,night,Eco
TR000123,DRV0047,BYD,Atto 3,Batticaloa,Kandy,182,186,2025-09-03 19:18:26,42.97,49.24,1.904,0.742,1.362,227,highway,sunny,night,Aggressive
TR000124,DRV0321,BYD,Atto 3,Batticaloa,Galle,363,111,2024-12-17 19:18:26,50.87,64.02,0.616,0.156,0.349,432,coastal,cloudy,evening,Normal
TR000125,DRV0126,Tesla,Model 3,Trincomalee,Matara,183,119,2025-10-18 19:18:26,48.64,58.65,0.454,0.309,0.481,221,highway,sunny,morning,Normal
TR000126,DRV0237,Nissan,Leaf,Ratnapura,Anuradhapura,291,217,2025-07-24 19:18:26,53.08,69.66,0.574,0.74,0.585,329,city,cloudy,morning,Normal
TR000127,DRV0058,Nissan,Leaf,Anuradhapura,Trincomalee,57,40,2025-04-16 19:18:26,45.28,58.24,0.969,0.472,0.149,75,coastal,heavy_rain,afternoon,Normal
TR000128,DRV0021,MG,ZS EV,Galle,Kurunegala,155,92,2025-03-04 19:18:26,44.18,56.36,1.003,0.721,0.441,214,coastal,cloudy,evening,Normal
TR000129,DRV0182,MG,ZS EV,Kandy,Batticaloa,195,175,2025-09-12 19:18:26,42.53,56.79,0.46,0.192,0.41,278,coastal,cloudy,night,Normal
TR000130,DRV0234,Nissan,Leaf,Ratnapura,Matara,138,330,2025-06-07 19:18:26,50.11,61.65,1.562,0.478,0.212,169,city,cloudy,evening,Aggressive
TR000131,DRV0100,Tesla,Model 3,Ratnapura,Batticaloa,72,94,2025-04-20 19:18:26,38.34,44.79,0.915,0.666,0.438,115,rural,light_rain,night,Normal
TR000132,DRV0235,BYD,Atto 3,Galle,Matara,70,80,2024-10-25 19:18:26,52.45,67.24,1.923,0.373,0.755,74,coastal,monsoon,morning,Aggressive
TR000133,DRV0188,BYD,Atto 3,Jaffna,Trincomalee,33,37,2025-02-09 19:18:26,43.44,47.17,0.791,0.229,0.43,45,highway,sunny,afternoon,Normal
TR000134,DRV0293,Nissan,Leaf,Galle,Anuradhapura,311,153,2025-06-30 19:18:26,42.96,52.09,1.063,0.179,0.053,430,coastal,light_rain,evening,Normal
TR000135,DRV0123,Nissan,Leaf,Jaffna,Trincomalee,46,35,2025-10-21 19:18:26,43.08,55.38,0.606,0.31,0.295,61,rural,cloudy,night,Normal
TR000136,DRV0009,Tesla,Model 3,Ratnapura,Trincomalee,177,160,2025-06-03 19:18:26,62.95,79.8,1.303,0.983,1.449,160,coastal,sunny,night,Aggressive
TR000137,DRV0079,BYD,Atto 3,Kandy,Galle,60,74,2025-09-28 19:18:26,35.3,43.71,0.762,0.432,0.09,105,rural,monsoon,afternoon,Normal
TR000138,DRV0121,BYD,Atto 3,Kandy,Batticaloa,384,269,2025-03-30 19:18:26,36.81,47.8,1.018,0.862,0.629,699,city,heavy_rain,morning,Normal
TR000139,DRV0264,Nissan,Leaf,Matara,Kurunegala,62,12,2025-01-02 19:18:26,44.95,53.25,1.282,0.867,0.56,81,rural,sunny,morning,Normal
TR000140,DRV0010,Nissan,Leaf,Kurunegala,Matara,62,36,2025-09-29 19:18:26,35.49,64.15,0.318,0.351,0.201,101,rural,cloudy,afternoon,Eco
TR000141,DRV0316,Tesla,Model 3,Colombo,Jaffna,409,265,2025-10-08 19:18:26,61.06,71.04,0.299,0.433,0.282,413,highway,sunny,evening,Eco
TR000142,DRV0372,BYD,Atto 3,Jaffna,Kurunegala,157,126,2025-07-13 19:18:26,47.89,53.79,1.379,0.299,0.68,194,rural,sunny,afternoon,Normal
TR000143,DRV0003,Tesla,Model 3,Batticaloa,Jaffna,71,12,2024-12-25 19:18:26,28.9,33.76,0.614,0.614,0.571,150,highway,heavy_rain,night,Normal
TR000144,DRV0063,BYD,Atto 3,Kandy,Jaffna,279,118,2025-05-15 19:18:26,32.81,46.68,1.091,0.45,0.529,555,highway,cloudy,night,Normal
TR000145,DRV0311,BYD,Atto 3,Kandy,Colombo,74,76,2025-06-11 19:18:26,57.2,59.88,1.261,0.933,0.283,79,highway,cloudy,morning,Normal
TR000146,DRV0399,BYD,Atto 3,Trincomalee,Colombo,162,98,2025-08-02 19:18:26,34.51,46.26,1.137,0.367,0.132,295,coastal,monsoon,morning,Normal
TR000147,DRV0043,Nissan,Leaf,Kandy,Galle,63,92,2025-07-23 19:18:26,42.38,51.74,0.518,0.487,0.154,80,rural,heavy_rain,night,Eco
TR000148,DRV0162,Nissan,Leaf,Kandy,Galle,83,91,2025-09-22 19:18:26,29.92,41.86,0.723,0.671,0.624,153,coastal,light_rain,afternoon,Normal
TR000149,DRV0329,BYD,Atto 3,Batticaloa,Galle,270,147,2025-03-17 19:18:26,31.14,39.06,0.855,0.72,0.338,462,rural,sunny,evening,Normal
TR000150,DRV0155,BYD,Atto 3,Batticaloa,Galle,254,330,2025-02-15 19:18:26,46.76,56.63,1.992,1.273,1.71,322,city,monsoon,morning,Aggressive
TR000151,DRV0384,BYD,Atto 3,Galle,Trincomalee,222,144,2025-03-01 19:18:26,55.21,56.3,0.538,0.421,0.091,253,highway,sunny,night,Eco
TR000152,DRV0223,BYD,Atto 3,Kurunegala,Jaffna,158,92,2024-10-24 19:18:26,44.82,45.83,0.722,0.422,0.439,196,rural,sunny,night,Normal
TR000153,DRV0324,MG,ZS EV,Matara,Jaffna,189,113,2025-09-11 19:18:26,61.96,73.76,1.039,0.859,0.271,203,rural,light_rain,afternoon,Normal
TR000154,DRV0022,MG,ZS EV,Kurunegala,Trincomalee,91,39,2025-02-25 19:18:26,46.55,57.21,0.439,0.276,0.06,112,rural,monsoon,afternoon,Eco
TR000155,DRV0006,MG,ZS EV,Trincomalee,Anuradhapura,63,37,2025-01-04 19:18:26,47.02,66.1,1.194,0.506,0.277,83,rural,sunny,afternoon,Normal
TR000156,DRV0393,Tesla,Model 3,Galle,Jaffna,234,163,2025-05-18 19:18:26,42.59,52.0,0.413,0.399,0.157,337,city,heavy_rain,afternoon,Eco
TR000157,DRV0136,Tesla,Model 3,Jaffna,Batticaloa,60,10,2024-11-23 19:18:26,50.81,51.78,0.107,0.227,0.156,70,rural,sunny,morning,Eco
TR000158,DRV0189,MG,ZS EV,Batticaloa,Kurunegala,195,78,2025-04-12 19:18:26,43.96,73.21,0.511,0.466,0.598,257,coastal,light_rain,evening,Normal
