trip_id,vehicle_model,distance_km,driving_style,road_type,weather,elevation_gain_m,avg_speed,energy_consumed_kWh,battery_capacity_kWh,battery_start_%,battery_end_%
TR000025,Atto 3,53,Aggressive,city,cloudy,14,47.07,12.556,60,43.98,23.05
TR000026,Leaf,114,Normal,rural,monsoon,127,26.34,21.494,40,96.06,42.33
TR000027,Model 3,93,Eco,rural,sunny,85,38.74,12.891,50,59.16,33.38
TR000028,Leaf,303,Normal,rural,sunny,352,65.71,49.913,50,47.26,0.0
TR000029,Model 3,355,Normal,rural,light_rain,370,41.49,54.329,40,83.16,0.0
TR000030,Atto 3,169,Normal,highway,cloudy,93,33.2,26.7,60,85.79,41.29
TR000031,ZS EV,34,Normal,rural,sunny,49,50.16,6.446,50,66.38,53.49
TR000032,Model 3,47,Normal,rural,cloudy,48,28.93,7.308,75,93.27,83.53
TR000033,Model 3,111,Normal,highway,cloudy,110,58.6,16.174,75,48.62,27.06
TR000034,Atto 3,95,Aggressive,highway,sunny,83,38.74,19.556,60,48.61,16.02
TR000035,Model 3,42,Normal,highway,heavy_rain,43,53.1,6.571,75,55.4,46.64
TR000036,Atto 3,174,Normal,city,cloudy,71,46.64,30.944,60,66.5,14.93
TR000037,Atto 3,270,Normal,rural,heavy_rain,191,55.7,49.004,50,94.34,0.0
TR000038,Leaf,101,Aggressive,coastal,sunny,84,59.03,21.559,60,68.88,32.95
TR000039,Model 3,119,Eco,rural,sunny,70,32.98,16.029,60,72.47,45.75
TR000040,ZS EV,77,Normal,coastal,sunny,71,57.48,14.299,75,58.66,39.59
TR000041,Model 3,174,Aggressive,coastal,monsoon,111,50.39,38.824,50,48.64,0.0
TR000042,ZS EV,99,Aggressive,highway,sunny,58,51.14,22.251,50,43.32,0.0
TR000043,Model 3,175,Eco,city,heavy_rain,132,40.18,27.142,60,52.98,7.74
TR000044,Model 3,184,Aggressive,coastal,sunny,120,36.61,34.926,60,50.46,0.0
TR000045,Leaf,231,Normal,rural,cloudy,177,57.5,37.766,60,52.48,0.0
TR000046,Model 3,188,Normal,rural,cloudy,162,57.69,28.719,50,62.86,5.42
TR000047,Atto 3,94,Eco,coastal,sunny,32,41.28,14.806,75,41.77,22.03
TR000048,ZS EV,307,Aggressive,highway,sunny,189,38.32,65.723,40,81.01,0.0
TR000049,Model 3,150,Normal,city,monsoon,183,44.3,26.097,40,61.59,0.0
TR000050,ZS EV,168,Normal,highway,cloudy,114,43.0,28.04,50,51.15,0.0
TR000051,Model 3,63,Normal,city,cloudy,14,60.49,9.862,40,85.79,61.14
TR000052,Model 3,204,Aggressive,rural,monsoon,68,44.35,46.18,75,90.37,28.8
TR000053,Leaf,112,Aggressive,highway,sunny,96,59.11,21.514,50,85.44,42.41
TR000054,ZS EV,66,Normal,coastal,sunny,40,57.37,11.848,50,51.06,27.36
TR000055,Model 3,133,Aggressive,city,cloudy,130,38.55,26.744,50,50.58,0.0
TR000056,Leaf,147,Eco,coastal,monsoon,149,44.84,24.22,50,52.75,4.31
TR000057,ZS EV,296,Normal,coastal,sunny,292,31.46,53.466,60,88.59,0.0
TR000058,ZS EV,48,Normal,city,sunny,48,32.42,9.146,60,48.16,32.92
TR000059,Atto 3,113,Normal,city,sunny,115,40.65,21.297,60,57.28,21.78
TR000060,Atto 3,59,Normal,coastal,sunny,54,46.36,10.315,75,58.06,44.31
TR000061,Leaf,122,Normal,rural,sunny,122,45.83,19.978,50,88.07,48.11
TR000062,Leaf,85,Eco,rural,cloudy,72,51.79,12.111,75,60.71,44.56
TR000063,Leaf,189,Normal,highway,sunny,169,38.81,28.706,40,92.08,20.31
TR000064,Leaf,39,Normal,coastal,cloudy,95,37.64,6.418,60,60.69,49.99
TR000065,ZS EV,264,Eco,coastal,cloudy,83,58.42,44.551,50,63.72,0.0
TR000066,ZS EV,112,Normal,coastal,light_rain,59,39.39,20.792,50,54.42,12.84
TR000067,ZS EV,261,Eco,coastal,cloudy,217,56.77,43.502,50,40.25,0.0
TR000068,Leaf,243,Normal,highway,sunny,245,43.21,36.405,40,73.33,0.0
TR000069,Model 3,29,Normal,rural,monsoon,92,53.72,5.09,60,51.38,42.9
TR000070,ZS EV,186,Aggressive,coastal,cloudy,221,45.79,44.073,50,51.99,0.0
TR000071,Atto 3,62,Normal,highway,sunny,40,55.76,10.414,40,88.12,62.09
TR000072,Model 3,131,Normal,rural,sunny,308,30.81,20.007,40,90.68,40.66
TR000073,ZS EV,327,Normal,city,light_rain,272,17.31,67.656,60,89.79,0.0
TR000074,Model 3,85,Eco,coastal,cloudy,73,37.2,11.84,50,43.97,20.29
TR000075,ZS EV,188,Eco,highway,monsoon,46,43.65,31.396,40,65.42,0.0
TR000076,Leaf,92,Normal,coastal,heavy_rain,64,48.07,16.29,40,76.99,36.26
TR000077,Leaf,200,Normal,highway,cloudy,165,24.78,31.423,50,40.88,0.0
TR000078,Atto 3,119,Normal,rural,monsoon,74,43.04,22.908,50,78.17,32.35
TR000079,Atto 3,302,Aggressive,rural,sunny,335,57.88,66.692,75,41.12,0.0
TR000080,Model 3,120,Normal,coastal,cloudy,81,60.96,17.937,40,97.5,52.66
TR000081,Atto 3,52,Normal,city,light_rain,38,57.18,9.729,50,84.29,64.83
TR000082,Leaf,69,Aggressive,rural,sunny,37,51.38,14.685,40,54.92,18.21
TR000083,Leaf,138,Normal,highway,cloudy,48,50.94,21.353,75,98.01,69.54
TR000084,Model 3,225,Eco,coastal,sunny,73,49.21,30.466,40,78.0,1.83
TR000085,Atto 3,257,Normal,highway,light_rain,211,33.19,44.055,60,88.63,15.2
TR000086,ZS EV,190,Normal,rural,sunny,233,50.7,33.649,60,74.54,18.46
TR000087,Model 3,267,Eco,coastal,light_rain,188,42.11,36.496,75,77.56,28.9
TR000088,ZS EV,159,Eco,highway,heavy_rain,136,25.2,28.355,75,96.8,58.99
TR000089,Model 3,137,Normal,city,cloudy,112,40.76,22.048,75,63.47,34.07
TR000090,ZS EV,182,Aggressive,coastal,light_rain,117,52.98,44.129,60,78.11,4.56
TR000091,Atto 3,227,Eco,city,cloudy,111,40.74,36.352,40,48.17,0.0
TR000092,Leaf,50,Normal,highway,sunny,14,19.74,7.333,40,40.96,22.63
TR000093,Model 3,196,Normal,rural,cloudy,152,62.02,30.313,50,72.92,12.29
TR000094,Leaf,56,Aggressive,rural,sunny,13,53.29,11.571,40,95.2,66.27
TR000095,ZS EV,161,Aggressive,rural,monsoon,89,37.93,41.999,50,63.12,0.0
TR000096,ZS EV,236,Normal,coastal,heavy_rain,219,34.64,47.865,50,65.65,0.0
TR000097,Atto 3,106,Aggressive,coastal,sunny,69,39.36,23.516,60,50.0,10.81
TR000098,Model 3,86,Normal,city,cloudy,91,52.37,13.46,60,43.48,21.05
TR000099,Atto 3,279,Eco,rural,cloudy,210,32.81,42.32,50,89.51,4.87
TR000100,Model 3,148,Normal,city,sunny,77,41.49,23.201,40,86.2,28.2
TR000101,Atto 3,133,Aggressive,coastal,sunny,129,44.3,30.125,40,72.04,0.0
TR000102,Leaf,83,Normal,coastal,sunny,19,44.39,13.385,40,45.96,12.5
TR000103,Atto 3,245,Normal,coastal,sunny,101,44.24,42.877,75,57.76,0.59
TR000104,ZS EV,112,Normal,city,sunny,84,34.98,21.603,50,75.88,32.67
TR000105,Atto 3,219,Aggressive,coastal,heavy_rain,152,32.37,53.011,75,47.02,0.0
TR000106,Atto 3,39,Eco,highway,heavy_rain,80,50.79,6.227,50,40.23,27.78
TR000107,Model 3,48,Normal,coastal,light_rain,32,41.08,7.398,60,54.18,41.85
TR000108,Atto 3,148,Normal,highway,light_rain,74,54.7,23.493,75,71.75,40.43
TR000109,Model 3,297,Normal,city,monsoon,273,42.2,52.435,75,60.18,0.0
TR000110,ZS EV,217,Aggressive,highway,heavy_rain,234,39.07,50.812,50,85.1,0.0
TR000111,Leaf,186,Eco,highway,cloudy,50,50.23,24.989,75,98.45,65.13
TR000112,Leaf,63,Eco,coastal,cloudy,74,47.43,9.433,75,53.68,41.1
TR000113,ZS EV,269,Normal,rural,sunny,152,34.8,49.638,40,64.89,0.0
TR000114,Leaf,114,Aggressive,rural,sunny,81,39.07,23.359,75,45.46,14.32
TR000115,Atto 3,98,Normal,city,heavy_rain,79,49.03,18.638,75,46.45,21.6
TR000116,ZS EV,208,Normal,rural,cloudy,190,53.71,37.965,40,54.13,0.0
TR000117,Model 3,68,Eco,rural,heavy_rain,97,49.16,10.009,40,47.55,22.53
TR000118,ZS EV,89,Normal,highway,cloudy,37,35.75,15.474,50,76.41,45.46
TR000119,Leaf,295,Aggressive,city,sunny,387,54.39,65.113,50,87.41,0.0
TR000120,Atto 3,180,Normal,coastal,heavy_rain,51,32.12,33.656,40,72.24,0.0
TR000121,Atto 3,70,Normal,rural,heavy_rain,45,46.55,12.796,40,82.86,50.87
TR000122,Leaf,133,Normal,city,heavy_rain,123,49.31,24.791,40,93.41,31.43
TR000123,Atto 3,179,Aggressive,highway,light_rain,221,49.83,39.44,40,44.91,0.0
TR000124,Leaf,124,Aggressive,highway,monsoon,105,51.87,27.944,60,95.14,48.57
TR000125,Atto 3,180,Eco,coastal,cloudy,191,45.21,28.44,50,61.31,4.43
TR000126,Model 3,77,Aggressive,highway,sunny,64,54.15,14.088,40,66.89,31.67
TR000127,Leaf,363,Aggressive,rural,sunny,174,31.5,76.486,75,53.97,0.0
TR000128,Atto 3,117,Normal,highway,sunny,88,42.76,18.546,40,63.03,16.66
TR000129,Leaf,418,Normal,city,heavy_rain,210,54.04,77.605,60,44.37,0.0
TR000130,Atto 3,56,Normal,rural,light_rain,29,55.77,9.89,60,41.78,25.3
TR000131,Leaf,211,Normal,rural,heavy_rain,90,55.88,36.208,50,72.01,0.0
TR000132,Leaf,101,Normal,rural,sunny,68,45.43,15.887,50,85.84,54.07
TR000133,Atto 3,142,Aggressive,coastal,cloudy,57,44.46,33.044,50,99.09,33.0
TR000134,Model 3,124,Eco,city,sunny,153,33.96,17.833,50,74.07,38.4
TR000135,Model 3,191,Aggressive,rural,sunny,60,24.8,36.526,50,44.1,0.0
TR000136,Atto 3,118,Aggressive,city,light_rain,115,60.08,28.167,40,60.65,0.0
TR000137,ZS EV,476,Normal,highway,monsoon,326,46.85,93.357,75,51.94,0.0
TR000138,Model 3,108,Eco,city,sunny,59,36.69,15.603,75,99.15,78.35
TR000139,Leaf,52,Normal,coastal,heavy_rain,35,51.82,9.243,75,72.39,60.07
TR000140,Leaf,151,Normal,rural,sunny,199,56.01,23.76,50,46.81,0.0
TR000141,Model 3,54,Normal,city,sunny,28,63.05,8.556,50,49.57,32.46
TR000142,Model 3,83,Normal,highway,cloudy,62,50.01,12.14,50,98.39,74.11
TR000143,Atto 3,100,Normal,city,sunny,95,54.5,18.05,75,79.44,55.37
TR000144,ZS EV,84,Normal,coastal,monsoon,146,46.32,17.066,75,94.61,71.86
TR000145,Atto 3,115,Normal,coastal,cloudy,62,56.16,20.43,40,87.38,36.31
TR000146,Atto 3,56,Normal,rural,sunny,12,37.69,9.288,50,40.57,21.99
TR000147,ZS EV,80,Eco,highway,sunny,45,47.38,12.515,60,46.11,25.25
TR000148,Model 3,134,Normal,rural,sunny,55,19.15,20.572,40,68.26,16.83
TR000149,Atto 3,55,Normal,coastal,sunny,19,33.98,9.6,60,51.86,35.86
TR000150,ZS EV,190,Normal,city,monsoon,31,37.7,40.703,40,94.21,0.0
TR000151,Atto 3,32,Normal,city,heavy_rain,13,49.29,6.213,50,53.2,40.77
TR000152,Atto 3,100,Normal,city,sunny,85,47.79,17.486,40,90.65,46.94
TR000153,Atto 3,90,Normal,city,heavy_rain,57,45.75,17.939,40,76.83,31.98
TR000154,Model 3,282,Aggressive,coastal,cloudy,107,48.22,56.603,75,46.99,0.0
TR000155,Model 3,56,Eco,city,cloudy,11,42.78,7.614,60,62.99,50.3
TR000156,Atto 3,57,Aggressive,city,light_rain,19,28.18,14.269,75,52.45,33.42
TR000157,Atto 3,162,Aggressive,highway,sunny,87,37.6,33.662,60,59.48,3.38
TR000158,Atto 3,54,Normal,coastal,light_rain,72,54.58,9.832,50,73.09,53.43
TR000159,Leaf,65,Normal,coastal,sunny,47,44.81,11.173,40,43.94,16.01
TR000160,ZS EV,103,Normal,rural,monsoon,82,39.39,21.018,75,81.2,53.18
TR000161,ZS EV,296,Eco,rural,heavy_rain,211,14.41,53.996,60,41.3,0.0
TR000162,ZS EV,334,Eco,highway,sunny,358,42.78,51.636,50,71.51,0.0
TR000163,Atto 3,51,Normal,coastal,heavy_rain,74,37.97,9.622,60,66.51,50.47
TR000164,ZS EV,170,Normal,rural,cloudy,76,56.3,30.399,50,85.56,24.76
TR000165,ZS EV,38,Aggressive,highway,sunny,143,40.89,8.566,75,41.18,29.76
TR000166,Leaf,356,Eco,city,cloudy,246,36.64,53.473,50,54.46,0.0
TR000167,ZS EV,242,Normal,rural,monsoon,98,39.05,47.445,75,76.3,13.04
TR000168,ZS EV,138,Normal,coastal,sunny,106,40.43,24.853,50,49.27,0.0
TR000169,ZS EV,57,Normal,coastal,monsoon,21,26.18,11.585,60,80.59,61.28
TR000170,Atto 3,165,Eco,rural,cloudy,35,47.41,25.417,60,45.56,3.2
TR000171,Model 3,99,Normal,highway,light_rain,84,67.12,14.228,75,57.67,38.7
TR000172,Atto 3,65,Normal,highway,sunny,45,48.65,10.202,40,73.46,47.95
TR000173,ZS EV,181,Normal,highway,sunny,205,47.95,31.15,40,76.15,0.0
TR000174,Model 3,159,Normal,city,sunny,137,54.45,25.967,75,80.17,45.55
TR000175,ZS EV,129,Normal,rural,sunny,49,40.54,23.616,75,50.15,18.66
TR000176,Leaf,97,Normal,city,light_rain,45,44.38,17.034,60,45.95,17.56
TR000177,ZS EV,320,Eco,rural,light_rain,185,59.73,51.978,50,88.82,0.0
TR000178,Leaf,97,Normal,highway,cloudy,93,45.09,14.65,75,43.18,23.65
TR000179,Leaf,69,Normal,rural,sunny,20,36.32,11.116,50,63.76,41.53
TR000180,Leaf,203,Aggressive,coastal,cloudy,57,59.86,44.444,50,69.5,0.0
TR000181,ZS EV,151,Eco,city,light_rain,126,33.25,26.228,60,94.78,51.07
TR000182,Leaf,173,Normal,coastal,sunny,72,52.34,27.944,60,98.63,52.06
TR000183,ZS EV,72,Normal,coastal,sunny,62,56.26,12.82,50,97.19,71.55
TR000184,Leaf,162,Aggressive,city,cloudy,188,45.96,34.293,60,90.6,33.45
TR000185,Model 3,123,Normal,rural,sunny,26,49.06,18.415,50,69.11,32.28
TR000186,ZS EV,243,Eco,coastal,light_rain,146,44.84,42.711,75,81.29,24.34
TR000187,Atto 3,147,Normal,highway,sunny,77,39.31,23.745,75,71.56,39.9
TR000188,Leaf,112,Normal,highway,cloudy,58,47.88,16.857,50,52.77,19.06
TR000189,ZS EV,53,Aggressive,rural,monsoon,49,43.12,14.303,40,54.36,18.6
TR000190,Leaf,94,Eco,coastal,sunny,58,60.7,13.533,40,49.68,15.85
TR000191,Model 3,98,Aggressive,rural,sunny,43,42.43,19.421,60,94.11,61.74
TR000192,Model 3,93,Normal,coastal,heavy_rain,49,44.77,15.734,60,41.73,15.51
TR000193,Leaf,170,Eco,city,sunny,44,33.53,25.104,40,45.6,0.0
TR000194,Model 3,139,Aggressive,coastal,sunny,115,46.74,26.923,40,95.31,28.0
TR000195,Model 3,86,Aggressive,highway,light_rain,103,43.33,16.424,50,62.46,29.61
TR000196,Model 3,67,Aggressive,rural,cloudy,25,40.82,13.93,40,42.25,7.42
TR000197,Model 3,57,Normal,rural,cloudy,31,37.93,8.704,75,87.17,75.56
TR000198,ZS EV,124,Aggressive,coastal,sunny,122,59.73,29.607,75,82.78,43.3
TR000199,Leaf,405,Aggressive,coastal,light_rain,312,47.9,87.644,60,62.56,0.0
TR000200,Model 3,157,Normal,highway,sunny,123,23.6,22.882,75,79.69,49.18
TR000201,ZS EV,144,Aggressive,city,heavy_rain,118,53.8,38.898,50,61.7,0.0
TR000202,Leaf,52,Eco,highway,sunny,13,41.32,7.048,40,55.51,37.89
TR000203,Leaf,266,Eco,rural,sunny,63,56.3,37.689,75,55.5,5.25
TR000204,ZS EV,294,Normal,rural,light_rain,282,37.98,55.37,60,94.82,2.54
TR000205,Model 3,266,Normal,city,sunny,252,36.95,42.098,40,49.52,0.0
TR000206,Atto 3,78,Normal,city,monsoon,27,39.51,15.943,60,65.14,38.57
TR000207,Leaf,171,Normal,highway,light_rain,229,47.88,26.309,60,57.11,13.26
TR000208,Model 3,213,Normal,rural,cloudy,319,43.61,32.567,40,85.33,3.91
TR000209,Leaf,352,Aggressive,city,cloudy,212,51.73,81.218,50,94.82,0.0
TR000210,Atto 3,77,Eco,highway,cloudy,28,51.26,11.275,75,54.67,39.64
TR000211,Leaf,40,Normal,coastal,light_rain,13,42.53,6.883,40,95.05,77.84
TR000212,Leaf,265,Normal,rural,cloudy,279,37.54,42.359,60,47.38,0.0
TR000213,Leaf,51,Normal,coastal,sunny,93,48.12,8.421,40,76.84,55.79
TR000214,ZS EV,71,Eco,coastal,sunny,146,51.92,11.627,75,73.76,58.26
TR000215,Leaf,73,Eco,rural,sunny,13,40.23,10.239,60,64.61,47.55
TR000216,Atto 3,70,Eco,rural,monsoon,55,39.9,12.085,50,68.49,44.32
TR000217,ZS EV,173,Aggressive,rural,monsoon,219,48.18,45.353,75,51.26,0.0
TR000218,ZS EV,230,Eco,coastal,sunny,59,37.13,36.567,50,88.92,15.79
TR000219,Leaf,245,Eco,rural,cloudy,242,66.19,35.654,75,54.26,6.72
TR000220,Leaf,63,Normal,rural,light_rain,50,48.8,10.31,50,91.39,70.77
TR000221,ZS EV,156,Aggressive,coastal,heavy_rain,92,43.32,40.511,40,89.08,0.0
TR000222,Model 3,364,Eco,coastal,cloudy,164,39.65,49.669,75,97.27,31.04
TR000223,ZS EV,98,Eco,city,cloudy,55,25.25,16.185,50,93.67,61.3
TR000224,Model 3,319,Eco,coastal,sunny,228,29.81,43.666,40,46.43,0.0
TR000225,Leaf,67,Aggressive,highway,light_rain,47,35.97,13.595,50,82.02,54.83
TR000226,Leaf,268,Eco,rural,sunny,236,38.89,39.482,60,80.66,14.86
TR000227,Atto 3,198,Normal,city,sunny,78,45.72,36.132,75,41.18,0.0
TR000228,ZS EV,221,Aggressive,city,sunny,153,57.88,53.696,50,41.82,0.0
TR000229,ZS EV,119,Normal,rural,sunny,28,49.55,21.695,75,47.05,18.12
TR000230,Atto 3,78,Aggressive,city,light_rain,48,39.97,18.888,60,51.39,19.91
TR000231,Model 3,326,Eco,city,cloudy,250,63.93,46.985,50,57.56,0.0
TR000232,Model 3,157,Normal,city,sunny,140,50.82,26.026,50,98.06,46.01
TR000233,Atto 3,358,Eco,highway,sunny,236,48.11,52.086,75,95.47,26.02
TR000234,ZS EV,166,Aggressive,highway,cloudy,84,59.39,37.045,60,72.42,10.68
TR000235,Model 3,191,Normal,highway,cloudy,135,59.92,27.551,75,73.64,36.91
TR000236,Leaf,55,Normal,highway,sunny,91,62.33,8.657,40,41.84,20.2
TR000237,Model 3,145,Normal,coastal,heavy_rain,21,48.2,24.844,75,53.74,20.61
TR000238,ZS EV,94,Normal,coastal,sunny,41,29.48,17.544,60,80.33,51.09
TR000239,Atto 3,243,Normal,city,cloudy,230,35.43,45.546,60,64.64,0.0
TR000240,Atto 3,31,Normal,highway,sunny,41,36.57,5.0,40,66.64,54.14
TR000241,Model 3,82,Aggressive,highway,sunny,107,49.44,15.264,40,58.05,19.89
TR000242,Atto 3,382,Aggressive,highway,light_rain,398,49.08,83.937,75,50.77,0.0
TR000243,Leaf,82,Normal,coastal,heavy_rain,55,53.52,14.627,60,91.8,67.42
TR000244,Leaf,44,Normal,coastal,heavy_rain,72,48.64,8.058,50,51.0,34.88
TR000245,Atto 3,44,Normal,highway,sunny,72,40.79,7.245,50,63.1,48.61
TR000246,ZS EV,138,Eco,coastal,monsoon,149,40.64,26.039,60,97.95,54.55
TR000247,Model 3,158,Normal,coastal,cloudy,267,58.61,24.079,60,70.47,30.34
TR000248,ZS EV,95,Normal,rural,sunny,46,30.98,16.671,60,71.14,43.36
TR000249,Leaf,56,Normal,highway,monsoon,126,27.47,9.893,50,95.58,75.79
TR000250,Leaf,496,Eco,highway,cloudy,326,50.3,68.36,40,78.02,0.0
TR000251,Atto 3,62,Eco,highway,monsoon,44,33.62,10.219,60,57.7,40.67
TR000252,Model 3,208,Normal,rural,cloudy,121,65.11,31.758,40,72.0,0.0
TR000253,Leaf,340,Eco,city,sunny,283,46.45,53.835,60,88.71,0.0
TR000254,Model 3,59,Aggressive,coastal,cloudy,72,46.59,11.78,75,71.0,55.29
TR000255,Leaf,92,Eco,highway,sunny,114,35.68,12.508,75,62.72,46.04
TR000256,Model 3,51,Normal,city,monsoon,95,47.37,9.131,75,75.79,63.62
TR000257,Model 3,331,Eco,highway,light_rain,159,37.34,44.101,60,82.51,9.01
TR000258,Model 3,42,Aggressive,highway,heavy_rain,69,52.55,8.415,40,49.67,28.63
TR000259,Model 3,43,Aggressive,rural,sunny,28,40.96,8.424,40,96.51,75.45
TR000260,Atto 3,81,Normal,coastal,light_rain,30,22.91,14.461,60,99.79,75.69
TR000261,Model 3,183,Normal,coastal,cloudy,101,45.7,28.1,40,80.74,10.49
TR000262,ZS EV,218,Normal,highway,cloudy,46,54.84,37.015,40,57.2,0.0
TR000263,Leaf,106,Normal,coastal,sunny,101,29.03,17.2,40,92.8,49.8
TR000264,ZS EV,217,Eco,rural,cloudy,167,54.5,35.31,75,94.97,47.89
TR000265,Model 3,67,Eco,rural,light_rain,12,46.99,9.301,75,43.85,31.45
TR000266,ZS EV,37,Normal,highway,sunny,36,40.24,6.484,40,93.37,77.16
TR000267,Leaf,59,Aggressive,rural,cloudy,70,38.71,12.694,60,64.49,43.33
TR000268,Model 3,158,Normal,city,heavy_rain,131,31.37,26.282,40,73.95,8.24
TR000269,Leaf,115,Normal,highway,heavy_rain,189,26.46,18.412,50,86.94,50.12
TR000270,Atto 3,54,Normal,highway,light_rain,67,48.13,9.032,50,44.5,26.44
TR000271,Atto 3,186,Normal,city,sunny,157,40.54,33.527,75,64.81,20.11
TR000272,Atto 3,357,Eco,coastal,light_rain,281,36.7,55.287,75,79.25,5.53
TR000273,Leaf,147,Normal,city,light_rain,135,40.39,25.254,50,52.54,2.03
TR000274,ZS EV,203,Aggressive,coastal,light_rain,110,51.95,49.656,60,51.56,0.0
TR000275,Model 3,199,Normal,coastal,light_rain,167,39.62,32.069,75,80.96,38.2
TR000276,Model 3,196,Normal,highway,sunny,52,39.9,27.496,40,40.77,0.0
TR000277,Atto 3,51,Aggressive,highway,sunny,121,34.14,10.768,40,73.01,46.09
TR000278,Atto 3,177,Aggressive,highway,cloudy,167,41.43,38.223,60,47.41,0.0
TR000279,ZS EV,36,Normal,city,cloudy,36,45.75,6.944,40,60.85,43.49
TR000280,ZS EV,91,Normal,coastal,sunny,52,46.98,16.497,60,44.91,17.41
TR000281,Leaf,175,Eco,city,heavy_rain,167,52.79,28.065,60,78.46,31.68
TR000282,ZS EV,183,Aggressive,city,heavy_rain,136,48.48,49.665,60,90.56,7.79
TR000283,Model 3,132,Normal,city,cloudy,177,57.04,21.255,50,48.85,6.34
TR000284,ZS EV,170,Eco,city,sunny,175,46.52,28.944,50,80.14,22.25
TR000285,Atto 3,293,Normal,city,cloudy,145,49.93,52.684,40,92.55,0.0
TR000286,ZS EV,146,Normal,highway,sunny,214,47.18,25.096,60,64.48,22.65
TR000287,Atto 3,57,Eco,highway,sunny,65,47.09,8.198,40,74.15,53.65
TR000288,Leaf,95,Normal,highway,monsoon,147,47.64,16.241,75,72.33,50.68
TR000289,ZS EV,177,Normal,highway,monsoon,127,52.67,34.175,40,54.88,0.0
TR000290,Leaf,206,Normal,rural,cloudy,198,42.86,33.833,40,79.64,0.0
TR000291,Leaf,219,Eco,rural,cloudy,239,27.3,31.308,60,55.06,2.88
TR000292,Atto 3,115,Normal,rural,sunny,147,39.48,19.181,60,43.71,11.74
TR000293,ZS EV,245,Aggressive,city,light_rain,153,65.5,62.133,75,58.41,0.0
TR000294,ZS EV,56,Normal,highway,cloudy,27,43.92,9.808,75,95.31,82.23
TR000295,Model 3,53,Eco,city,sunny,17,35.02,7.398,40,57.81,39.32
TR000296,Leaf,75,Normal,highway,heavy_rain,65,46.01,12.368,40,67.54,36.62
TR000297,Model 3,345,Normal,coastal,heavy_rain,208,60.42,55.598,60,85.09,0.0
TR000298,ZS EV,199,Normal,city,light_rain,216,46.73,38.204,50,73.22,0.0
TR000299,Model 3,188,Normal,city,sunny,107,41.39,29.171,60,56.48,7.86
TR000300,Leaf,134,Aggressive,coastal,heavy_rain,192,64.24,32.14,50,76.06,11.78
TR000301,Model 3,145,Normal,highway,sunny,42,56.23,19.922,75,71.81,45.25
TR000302,Atto 3,277,Normal,highway,sunny,168,49.18,44.666,40,68.66,0.0
TR000303,ZS EV,189,Eco,coastal,heavy_rain,148,50.59,33.38,60,78.6,22.97
TR000304,Model 3,232,Aggressive,highway,heavy_rain,100,29.52,47.054,50,96.08,1.97
TR000305,Leaf,198,Eco,coastal,cloudy,167,54.26,29.632,40,92.84,18.76
TR000306,ZS EV,62,Aggressive,coastal,sunny,37,55.41,15.293,75,89.53,69.14
TR000307,ZS EV,46,Eco,rural,monsoon,88,44.29,8.662,75,99.19,87.64
TR000308,Leaf,145,Normal,rural,light_rain,98,41.17,23.829,50,59.22,11.56
